arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\sklearn\random_projection.py,GaussianRandomProjection,3,2,0,9,1,3
clones/scikit-learn/scikit-learn\sklearn\random_projection.py,SparseRandomProjection,3,2,0,11,1,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_affinity_propagation.py,AffinityPropagation,5,1,0,21,0,7
clones/scikit-learn/scikit-learn\sklearn\cluster\_agglomerative.py,AgglomerativeClustering,4,1,1,24,1,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_agglomerative.py,FeatureAgglomeration,3,2,0,8,2,2
clones/scikit-learn/scikit-learn\sklearn\cluster\_bicluster.py,BaseSpectral,6,1,2,22,2,12
clones/scikit-learn/scikit-learn\sklearn\cluster\_bicluster.py,SpectralCoclustering,3,2,0,14,3,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_bicluster.py,SpectralBiclustering,5,2,0,24,3,4
clones/scikit-learn/scikit-learn\sklearn\cluster\_birch.py,_CFNode,4,1,0,16,2,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_birch.py,_CFSubcluster,4,1,0,7,0,6
clones/scikit-learn/scikit-learn\sklearn\cluster\_birch.py,Birch,11,1,0,40,2,40
clones/scikit-learn/scikit-learn\sklearn\cluster\_bisect_k_means.py,_BisectingTree,4,1,0,6,0,6
clones/scikit-learn/scikit-learn\sklearn\cluster\_bisect_k_means.py,BisectingKMeans,8,1,0,44,4,13
clones/scikit-learn/scikit-learn\sklearn\cluster\_dbscan.py,DBSCAN,4,1,0,24,0,6
clones/scikit-learn/scikit-learn\sklearn\cluster\_feature_agglomeration.py,AgglomerationTransform,2,1,0,13,0,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_kmeans.py,_BaseKMeans,14,1,2,42,2,81
clones/scikit-learn/scikit-learn\sklearn\cluster\_kmeans.py,KMeans,4,2,0,28,5,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_kmeans.py,MiniBatchKMeans,7,2,0,40,5,11
clones/scikit-learn/scikit-learn\sklearn\cluster\_mean_shift.py,MeanShift,3,1,0,28,0,3
clones/scikit-learn/scikit-learn\sklearn\cluster\_optics.py,OPTICS,2,1,0,15,0,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_spectral.py,SpectralClustering,4,1,0,20,0,5
clones/scikit-learn/scikit-learn\sklearn\cluster\tests\test_bicluster.py,MockBiclustering,2,1,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_hdbscan\hdbscan.py,HDBSCAN,6,1,0,35,0,14
clones/scikit-learn/scikit-learn\sklearn\compose\_column_transformer.py,ColumnTransformer,26,1,0,118,0,94
