arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\sklearn\covariance\_elliptic_envelope.py,EllipticEnvelope,6,1,0,18,0,0
clones/scikit-learn/scikit-learn\sklearn\covariance\_empirical_covariance.py,EmpiricalCovariance,7,1,0,26,0,20
clones/scikit-learn/scikit-learn\sklearn\covariance\_graph_lasso.py,_DictWithDeprecatedKeys,3,1,0,7,1,2
clones/scikit-learn/scikit-learn\sklearn\covariance\_graph_lasso.py,GraphicalLasso,2,1,1,9,1,1
clones/scikit-learn/scikit-learn\sklearn\covariance\_graph_lasso.py,GraphicalLassoCV,4,2,0,48,2,6
clones/scikit-learn/scikit-learn\sklearn\covariance\_robust_covariance.py,MinCovDet,4,1,0,25,0,5
clones/scikit-learn/scikit-learn\sklearn\covariance\_shrunk_covariance.py,ShrunkCovariance,2,1,0,10,1,1
clones/scikit-learn/scikit-learn\sklearn\covariance\_shrunk_covariance.py,LedoitWolf,2,1,0,10,1,1
clones/scikit-learn/scikit-learn\sklearn\covariance\_shrunk_covariance.py,OAS,1,1,0,6,0,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,_PLS,14,1,3,41,2,90
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,PLSRegression,1,2,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,PLSCanonical,1,2,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,CCA,1,2,0,3,1,0
clones/scikit-learn/scikit-learn\sklearn\cross_decomposition\_pls.py,PLSSVD,10,1,0,24,2,44
clones/scikit-learn/scikit-learn\sklearn\datasets\_openml.py,OpenMLError,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\datasets\tests\test_openml.py,_MockHTTPResponse,7,1,0,10,0,20
clones/scikit-learn/scikit-learn\sklearn\decomposition\_base.py,_BasePCA,6,1,0,15,0,14
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,_BaseSparseCoding,3,1,3,12,0,2
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,SparseCoder,7,2,0,10,2,20
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,DictionaryLearning,3,2,0,8,1,3
clones/scikit-learn/scikit-learn\sklearn\decomposition\_dict_learning.py,MiniBatchDictionaryLearning,4,2,0,12,1,6
clones/scikit-learn/scikit-learn\sklearn\decomposition\_factor_analysis.py,FactorAnalysis,9,1,0,39,0,21
clones/scikit-learn/scikit-learn\sklearn\decomposition\_fastica.py,FastICA,7,1,0,35,0,18
clones/scikit-learn/scikit-learn\sklearn\decomposition\_incremental_pca.py,IncrementalPCA,4,1,0,25,0,3
clones/scikit-learn/scikit-learn\sklearn\decomposition\_kernel_pca.py,KernelPCA,13,1,0,42,0,57
clones/scikit-learn/scikit-learn\sklearn\decomposition\_lda.py,LatentDirichletAllocation,16,1,0,55,0,65
clones/scikit-learn/scikit-learn\sklearn\decomposition\_nmf.py,NMF,11,1,0,38,0,34
clones/scikit-learn/scikit-learn\sklearn\decomposition\_pca.py,PCA,9,1,0,42,0,21
clones/scikit-learn/scikit-learn\sklearn\decomposition\_sparse_pca.py,SparsePCA,4,1,1,12,0,6
clones/scikit-learn/scikit-learn\sklearn\decomposition\_sparse_pca.py,MiniBatchSparsePCA,2,2,0,10,1,1
clones/scikit-learn/scikit-learn\sklearn\decomposition\_truncated_svd.py,TruncatedSVD,7,1,0,24,0,18
clones/scikit-learn/scikit-learn\sklearn\ensemble\_bagging.py,BaseBagging,9,1,2,38,4,15
clones/scikit-learn/scikit-learn\sklearn\ensemble\_bagging.py,BaggingClassifier,8,2,0,38,4,22
clones/scikit-learn/scikit-learn\sklearn\ensemble\_bagging.py,BaggingRegressor,4,2,0,22,3,3
clones/scikit-learn/scikit-learn\sklearn\ensemble\_base.py,BaseEnsemble,6,1,0,18,1,15
clones/scikit-learn/scikit-learn\sklearn\ensemble\_base.py,_BaseHeterogeneousEnsemble,5,1,0,18,0,9
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,BaseForest,10,1,3,54,4,35
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,ForestClassifier,8,2,2,40,3,25
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,ForestRegressor,6,2,2,24,4,14
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,RandomForestClassifier,1,3,0,4,1,0
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,RandomForestRegressor,1,3,0,4,1,0
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,ExtraTreesClassifier,1,3,0,4,1,0
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,ExtraTreesRegressor,1,3,0,4,1,0
clones/scikit-learn/scikit-learn\sklearn\ensemble\_forest.py,RandomTreesEmbedding,5,2,0,18,3,4
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb.py,VerboseReporter,3,1,0,11,0,3
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb.py,BaseGradientBoosting,20,1,2,95,5,85
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb.py,GradientBoostingClassifier,10,2,0,30,3,39
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb.py,GradientBoostingRegressor,7,2,0,21,4,18
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,LossFunction,7,1,2,13,1,21
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,RegressionLossFunction,3,2,4,10,1,3
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,LeastSquaresError,5,3,0,10,0,10
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,LeastAbsoluteError,4,3,0,12,0,6
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,HuberLossFunction,5,3,0,19,1,10
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,QuantileLossFunction,5,3,0,13,1,10
clones/scikit-learn/scikit-learn\sklearn\ensemble\_gb_losses.py,ClassificationLossFunction,3,2,3,5,0,3
