arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\ensemble\plot_feature_transformation.py,120,74,70,12,17,21,0.0,100.0
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances.py,60,22,30,4,15,11,0.0,89.32231817938555
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances_faces.py,48,22,24,5,10,10,0.0,88.42490023382634
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_iris.py,160,66,77,27,32,28,0.0,72.06085900031944
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_categorical.py,215,51,74,86,19,37,4.0,68.19562387422192
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_early_stopping.py,158,69,77,11,30,40,2.0,72.29333638708358
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_oob.py,137,73,70,14,23,29,2.0,71.81525946718276
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_quantile.py,79,40,42,10,7,19,1.0,79.90693270783304
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regression.py,141,45,52,58,13,18,0.0,73.3867541200623
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regularization.py,79,30,36,6,18,19,0.0,91.65908148393957
clones/scikit-learn/scikit-learn\examples\ensemble\plot_isolation_forest.py,70,32,34,5,18,13,0.0,82.1048853355112
clones/scikit-learn/scikit-learn\examples\ensemble\plot_monotonic_constraints.py,80,30,46,5,16,16,0.0,80.92618647955605
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_embedding.py,105,60,52,10,22,21,0.0,76.85569634465737
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_regression_multioutput.py,77,35,40,6,17,14,0.0,80.78984616978552
clones/scikit-learn/scikit-learn\examples\ensemble\plot_stack_predictors.py,256,79,119,71,13,54,1.0,72.04203017755735
