arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\cluster\plot_coin_ward_segmentation.py,80,37,42,16,8,15,0.0,82.62315062354061
clones/scikit-learn/scikit-learn\examples\cluster\plot_color_quantization.py,95,47,45,13,16,20,1.0,79.04491057736111
clones/scikit-learn/scikit-learn\examples\cluster\plot_dbscan.py,86,38,54,10,6,16,0.0,73.96403935809582
clones/scikit-learn/scikit-learn\examples\cluster\plot_dict_face_patches.py,83,40,42,5,18,18,0.0,77.12047520204366
clones/scikit-learn/scikit-learn\examples\cluster\plot_digits_agglomeration.py,60,36,39,4,7,10,0.0,79.8229174317576
clones/scikit-learn/scikit-learn\examples\cluster\plot_digits_linkage.py,88,32,37,6,21,24,3.0,80.4008190002208
clones/scikit-learn/scikit-learn\examples\cluster\plot_face_compress.py,78,45,43,12,8,18,0.0,77.59294037953731
clones/scikit-learn/scikit-learn\examples\cluster\plot_feature_agglomeration_vs_univariate_selection.py,106,71,65,20,10,18,0.0,72.71251079147139
clones/scikit-learn/scikit-learn\examples\cluster\plot_inductive_clustering.py,134,64,69,8,21,36,1.2857142857142858,75.10579230918876
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_assumptions.py,63,35,31,6,10,16,0.0,84.18370389732836
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_digits.py,201,59,86,50,36,30,2.0,71.82994146907002
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_plusplus.py,41,21,20,3,8,10,0.0,92.65504089289297
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_silhouette_analysis.py,159,48,80,26,27,29,0.0,75.65457602804244
clones/scikit-learn/scikit-learn\examples\cluster\plot_kmeans_stability_low_dim_dense.py,132,54,76,9,19,28,5.0,74.60687262186282
clones/scikit-learn/scikit-learn\examples\cluster\plot_linkage_comparison.py,175,60,112,14,19,30,0.0,71.39993237387685
clones/scikit-learn/scikit-learn\examples\cluster\plot_mean_shift.py,61,26,32,7,9,13,0.0,85.26971156316698
clones/scikit-learn/scikit-learn\examples\cluster\plot_mini_batch_kmeans.py,127,59,79,14,12,22,0.0,71.98020798487264
clones/scikit-learn/scikit-learn\examples\cluster\plot_optics.py,107,61,66,9,14,18,0.0,68.63654524355934
clones/scikit-learn/scikit-learn\examples\cluster\plot_segmentation_toy.py,101,39,38,16,21,26,0.0,70.9505708283203
clones/scikit-learn/scikit-learn\examples\cluster\plot_ward_structured_vs_unstructured.py,104,41,55,17,16,16,0.0,76.4306955132579
clones/scikit-learn/scikit-learn\examples\compose\plot_column_transformer.py,187,39,99,55,15,27,3.0,100.0
clones/scikit-learn/scikit-learn\examples\compose\plot_column_transformer_mixed_types.py,221,46,75,83,19,44,0.0,73.41783435704673
clones/scikit-learn/scikit-learn\examples\compose\plot_compare_reduction.py,125,40,58,30,17,21,0.0,79.51103665669208
clones/scikit-learn/scikit-learn\examples\compose\plot_digits_pipe.py,82,37,47,11,8,16,0.0,83.6203844276215
clones/scikit-learn/scikit-learn\examples\compose\plot_feature_union.py,62,20,23,8,13,18,0.0,100.0
clones/scikit-learn/scikit-learn\examples\compose\plot_transformed_target.py,247,112,148,52,10,37,0.0,68.36862890825223
clones/scikit-learn/scikit-learn\examples\covariance\plot_covariance_estimation.py,147,45,67,20,35,25,0.0,76.18642530866445
clones/scikit-learn/scikit-learn\examples\covariance\plot_lw_vs_oas.py,105,43,70,4,17,14,0.0,79.03103101214538
clones/scikit-learn/scikit-learn\examples\covariance\plot_mahalanobis_distances.py,211,58,131,50,0,31,0.0,74.41966549162542
clones/scikit-learn/scikit-learn\examples\covariance\plot_robust_vs_empirical_covariance.py,186,58,106,12,46,22,0.0,72.16666766394697
clones/scikit-learn/scikit-learn\examples\covariance\plot_sparse_cov.py,151,58,75,12,42,22,0.0,73.8352163757937
clones/scikit-learn/scikit-learn\examples\cross_decomposition\plot_compare_cross_decomposition.py,155,102,96,19,18,22,0.0,65.84763516108055
clones/scikit-learn/scikit-learn\examples\cross_decomposition\plot_pcr_vs_pls.py,165,53,68,48,30,21,0.0,74.21576394121136
clones/scikit-learn/scikit-learn\examples\datasets\plot_digits_last_image.py,32,7,6,6,12,8,0.0,66.67419310055989
clones/scikit-learn/scikit-learn\examples\datasets\plot_iris_dataset.py,71,36,38,9,13,12,0.0,83.62208614009624
clones/scikit-learn/scikit-learn\examples\datasets\plot_random_dataset.py,62,38,37,0,12,13,0.0,100.0
clones/scikit-learn/scikit-learn\examples\datasets\plot_random_multilabel_dataset.py,106,27,55,9,29,20,1.0,82.88939261898943
clones/scikit-learn/scikit-learn\examples\decomposition\plot_beta_divergence.py,29,17,16,0,7,6,0.0,96.66967049845434
clones/scikit-learn/scikit-learn\examples\decomposition\plot_faces_decomposition.py,239,65,176,26,9,29,2.0,65.2947704258391
clones/scikit-learn/scikit-learn\examples\decomposition\plot_ica_blind_source_separation.py,74,33,37,18,12,17,0.0,80.50551859365447
clones/scikit-learn/scikit-learn\examples\decomposition\plot_ica_vs_pca.py,116,49,57,11,24,27,3.0,76.27414044355812
clones/scikit-learn/scikit-learn\examples\decomposition\plot_image_denoising.py,167,91,96,12,26,33,1.0,64.9256152927264
clones/scikit-learn/scikit-learn\examples\decomposition\plot_incremental_pca.py,63,26,31,2,16,14,0.0,83.70407008722738
clones/scikit-learn/scikit-learn\examples\decomposition\plot_kernel_pca.py,165,53,52,76,14,23,0.0,100.0
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_3d.py,93,53,48,11,8,26,1.0,72.9820859302266
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_iris.py,57,26,31,4,8,14,0.0,86.50836293985385
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_fa_model_selection.py,142,59,81,11,22,29,1.3333333333333333,72.79616855174797
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_lda.py,64,27,33,1,15,15,0.0,86.2503702671528
clones/scikit-learn/scikit-learn\examples\decomposition\plot_sparse_coding.py,123,56,83,9,14,16,1.5,67.12704813067253
clones/scikit-learn/scikit-learn\examples\decomposition\plot_varimax_fa.py,81,40,43,8,15,15,0.0,85.03877610368774
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_hastie_10_2.py,123,50,77,5,15,26,0.0,74.0735470042759
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_multiclass.py,123,54,73,6,21,23,0.0,74.73487261300303
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_regression.py,54,24,24,8,11,11,0.0,87.89329085459836
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_twoclass.py,110,49,70,8,16,16,0.0,75.23634274412142
clones/scikit-learn/scikit-learn\examples\ensemble\plot_bias_variance.py,191,77,79,16,54,46,2.0,65.75704111693456
clones/scikit-learn/scikit-learn\examples\ensemble\plot_ensemble_oob.py,104,25,58,13,17,16,0.0,89.96748635796568
clones/scikit-learn/scikit-learn\examples\ensemble\plot_feature_transformation.py,171,50,74,37,16,44,1.0,100.0
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances.py,116,36,46,39,11,20,0.0,82.39564629388116
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances_faces.py,88,23,22,41,10,15,0.0,60.108657722586386
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_iris.py,173,65,89,27,32,29,0.0,72.86701346489099
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_categorical.py,272,56,123,85,19,45,4.0,77.60416238506642
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_early_stopping.py,170,66,89,11,30,40,2.0,72.7947767093824
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_oob.py,142,72,74,14,23,30,2.0,71.84349538125129
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_quantile.py,330,100,136,148,7,41,1.6666666666666667,62.42276642141251
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regression.py,154,44,63,59,13,19,0.0,77.68807824415349
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regularization.py,93,26,49,6,18,20,0.0,93.0162029035604
clones/scikit-learn/scikit-learn\examples\ensemble\plot_isolation_forest.py,67,31,31,5,18,13,0.0,81.99861752424829
clones/scikit-learn/scikit-learn\examples\ensemble\plot_monotonic_constraints.py,77,28,42,4,16,17,0.0,81.71523301429781
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_embedding.py,108,60,53,10,22,23,0.0,76.87685005184616
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_regression_multioutput.py,97,34,60,6,17,14,0.0,79.86109787242808
clones/scikit-learn/scikit-learn\examples\ensemble\plot_stack_predictors.py,280,85,136,77,13,53,1.0,73.59210293785283
