arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\inspection\plot_causal_interpretation.py,189,51,79,71,14,25,0.0,70.24751399962531
clones/scikit-learn/scikit-learn\examples\inspection\plot_linear_model_coefficient_interpretation.py,786,191,305,358,30,96,0.0,54.26938959207713
clones/scikit-learn/scikit-learn\examples\inspection\plot_partial_dependence.py,614,146,294,242,29,55,0.0,63.16109812210249
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance.py,245,62,95,97,20,33,0.0,72.59187986817966
clones/scikit-learn/scikit-learn\examples\inspection\plot_permutation_importance_multicollinear.py,192,74,82,62,18,30,2.0,73.2389251464736
clones/scikit-learn/scikit-learn\examples\kernel_approximation\plot_scalable_poly_kernels.py,251,61,113,80,17,42,0.0,72.03179125149232
clones/scikit-learn/scikit-learn\examples\linear_model\plot_ard.py,212,56,93,75,15,29,0.0,71.58639274765869
clones/scikit-learn/scikit-learn\examples\linear_model\plot_bayesian_ridge_curvefit.py,93,38,41,13,20,20,1.0,76.9879557633357
clones/scikit-learn/scikit-learn\examples\linear_model\plot_elastic_net_precomputed_gram_matrix_with_weighted_samples.py,55,16,14,14,14,13,0.0,68.39882249286937
clones/scikit-learn/scikit-learn\examples\linear_model\plot_huber_vs_ridge.py,64,38,35,6,11,12,0.0,77.39753962052527
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_and_elasticnet.py,249,66,74,120,18,38,0.0,51.287740016792924
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_dense_vs_sparse_data.py,89,34,33,29,7,20,0.0,76.46055650397686
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_lars_ic.py,115,27,44,28,21,21,1.0,76.94995596688803
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_lasso_lars_elasticnet_path.py,136,69,74,6,25,33,0.0,75.45588788029319
clones/scikit-learn/scikit-learn\examples\linear_model\plot_lasso_model_selection.py,249,65,100,110,11,28,3.0,68.12463250103845
clones/scikit-learn/scikit-learn\examples\linear_model\plot_logistic.py,66,35,41,5,8,12,0.0,77.7461037150591
clones/scikit-learn/scikit-learn\examples\linear_model\plot_logistic_l1_l2_sparsity.py,88,41,48,8,13,20,0.0,78.6324363848465
clones/scikit-learn/scikit-learn\examples\linear_model\plot_logistic_multinomial.py,193,58,76,80,10,27,5.0,68.84434919116765
