arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_fa_model_selection.py,144,58,80,13,22,30,1.3333333333333333,73.27000528763499
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_lda.py,64,27,33,1,15,15,0.0,86.2503702671528
clones/scikit-learn/scikit-learn\examples\decomposition\plot_sparse_coding.py,120,54,81,8,14,16,1.5,67.62875770492026
clones/scikit-learn/scikit-learn\examples\decomposition\plot_varimax_fa.py,78,37,40,8,15,15,0.0,85.95666380115252
clones/scikit-learn/scikit-learn\examples\developing_estimators\sklearn_is_fitted.py,76,23,18,13,31,14,1.3333333333333333,58.15496505304278
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_multiclass.py,253,40,85,119,21,28,1.0,68.77686471489308
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_regression.py,76,26,26,21,12,17,0.0,80.09806054268819
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_twoclass.py,111,43,72,8,16,15,0.0,78.08870083871258
clones/scikit-learn/scikit-learn\examples\ensemble\plot_bias_variance.py,191,77,79,16,55,45,2.0,65.60398238298109
clones/scikit-learn/scikit-learn\examples\ensemble\plot_ensemble_oob.py,105,25,58,13,17,17,0.0,89.96748635796568
clones/scikit-learn/scikit-learn\examples\ensemble\plot_feature_transformation.py,172,47,71,42,16,43,1.0,100.0
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_hist_grad_boosting_comparison.py,224,51,98,76,21,29,0.0,76.67235047279144
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances.py,117,36,46,39,11,21,0.0,82.39564629388116
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances_faces.py,89,23,22,41,10,16,0.0,60.108657722586386
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_iris.py,177,65,93,27,32,29,0.0,72.97189260295943
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_categorical.py,274,58,126,86,19,46,4.0,80.13756258131248
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_early_stopping.py,169,65,88,11,30,40,2.0,72.97663429765893
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_oob.py,144,77,78,15,23,27,2.0,70.88375524349041
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_quantile.py,335,101,138,153,7,39,1.6666666666666667,61.991041206824185
