arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/django/django\django\contrib\gis\db\models\fields.py,BaseSpatialField,12,1,2,29,2,45
clones/django/django\django\contrib\gis\db\models\fields.py,GeometryField,5,2,7,14,3,4
clones/django/django\django\contrib\gis\db\models\fields.py,PointField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,LineStringField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,PolygonField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,MultiPointField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,MultiLineStringField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,MultiPolygonField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,GeometryCollectionField,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\fields.py,ExtentField,2,1,0,2,0,1
clones/django/django\django\contrib\gis\db\models\fields.py,RasterField,5,2,0,16,2,4
clones/django/django\django\contrib\gis\db\models\functions.py,GeoFuncMixin,6,1,2,20,2,9
clones/django/django\django\contrib\gis\db\models\functions.py,GeoFunc,0,2,19,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,GeomOutputGeoFunc,1,3,13,2,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,SQLiteDecimalToFloatMixin,1,1,2,9,1,0
clones/django/django\django\contrib\gis\db\models\functions.py,OracleToleranceMixin,1,1,12,8,2,0
clones/django/django\django\contrib\gis\db\models\functions.py,Area,3,3,0,8,1,3
clones/django/django\django\contrib\gis\db\models\functions.py,Azimuth,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,AsGeoJSON,2,3,0,10,3,1
clones/django/django\django\contrib\gis\db\models\functions.py,AsGML,2,3,0,10,3,1
clones/django/django\django\contrib\gis\db\models\functions.py,AsKML,1,3,0,5,2,0
clones/django/django\django\contrib\gis\db\models\functions.py,AsSVG,1,3,0,6,2,0
clones/django/django\django\contrib\gis\db\models\functions.py,AsWKB,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,AsWKT,0,3,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,BoundingCircle,2,4,0,8,2,0
clones/django/django\django\contrib\gis\db\models\functions.py,Centroid,0,4,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,Difference,0,4,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,DistanceResultMixin,2,1,3,3,0,1
clones/django/django\django\contrib\gis\db\models\functions.py,Distance,3,3,0,19,4,3
clones/django/django\django\contrib\gis\db\models\functions.py,Envelope,0,4,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,ForcePolygonCW,0,4,0,0,0,0
clones/django/django\django\contrib\gis\db\models\functions.py,GeoHash,2,3,0,10,3,1
