arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/django/django\django\contrib\admin\checks.py,1367,567,1146,23,60,115,4.015625,0.0
clones/django/django\django\contrib\admin\decorators.py,111,46,48,0,40,23,1.6666666666666667,75.16144546165737
clones/django/django\django\contrib\admin\exceptions.py,25,13,9,0,0,12,1.0,100.0
clones/django/django\django\contrib\admin\filters.py,715,381,585,16,35,81,2.819672131147541,19.830000792549434
clones/django/django\django\contrib\admin\forms.py,31,15,22,0,3,6,2.0,92.08657862666348
clones/django/django\django\contrib\admin\helpers.py,552,290,474,14,6,64,3.061224489795918,22.10708430109658
clones/django/django\django\contrib\admin\sites.py,612,292,381,41,97,97,3.09375,39.76543918941086
clones/django/django\django\contrib\admin\tests.py,233,113,132,4,59,37,1.25,66.19936392737934
clones/django/django\django\contrib\admin\utils.py,605,392,424,29,70,82,4.65625,30.36218826995898
clones/django/django\django\contrib\admin\widgets.py,601,311,449,17,38,98,2.370967741935484,30.895626064161686
clones/django/django\django\contrib\admin\__init__.py,52,8,49,0,0,3,1.0,100.0
clones/django/django\django\contrib\admin\migrations\0001_initial.py,75,7,72,0,0,3,1.0,100.0
clones/django/django\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py,21,5,17,1,0,3,1.0,100.0
clones/django/django\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py,19,4,15,1,0,3,1.0,100.0
clones/django/django\django\contrib\admin\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admin\templatetags\admin_list.py,533,265,419,24,33,60,4.761904761904762,34.89867834235459
clones/django/django\django\contrib\admin\templatetags\admin_modify.py,150,70,122,3,7,17,7.0,52.63371642781143
clones/django/django\django\contrib\admin\templatetags\admin_urls.py,70,44,52,0,0,18,4.0,48.74199161881601
clones/django/django\django\contrib\admin\templatetags\base.py,45,17,34,2,4,5,1.3333333333333333,85.29214814406161
clones/django/django\django\contrib\admin\templatetags\log.py,67,33,43,0,12,12,3.0,77.50628661945592
clones/django/django\django\contrib\admin\templatetags\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admin\views\autocomplete.py,123,68,79,2,20,18,2.7142857142857144,73.89000045707762
clones/django/django\django\contrib\admin\views\decorators.py,19,9,13,0,4,2,3.0,100.0
clones/django/django\django\contrib\admin\views\main.py,625,370,485,76,27,41,8.333333333333334,26.569826826232468
clones/django/django\django\contrib\admin\views\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admindocs\apps.py,7,5,5,0,0,2,1.0,100.0
clones/django/django\django\contrib\admindocs\middleware.py,33,15,20,0,9,4,6.5,89.33515851343655
clones/django/django\django\contrib\admindocs\urls.py,50,3,49,0,0,1,0.0,100.0
