arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/django/django\django\contrib\auth\__init__.py,222,132,142,12,34,34,4.083333333333333,57.83231353091835
clones/django/django\django\contrib\auth\handlers\modwsgi.py,43,29,27,2,8,6,3.5,89.52418439889678
clones/django/django\django\contrib\auth\handlers\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\auth\management\__init__.py,148,72,84,19,22,23,4.6,72.7116778149957
clones/django/django\django\contrib\auth\management\commands\changepassword.py,75,53,61,2,0,13,4.5,55.294710969167134
clones/django/django\django\contrib\auth\management\commands\createsuperuser.py,244,164,204,14,7,19,7.777777777777778,41.187857929550326
clones/django/django\django\contrib\auth\management\commands\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\auth\migrations\0001_initial.py,104,8,100,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0002_alter_permission_name_max_length.py,16,4,12,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0003_alter_user_email_max_length.py,16,4,12,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0004_alter_user_username_opts.py,23,6,18,1,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0005_alter_user_last_login_null.py,16,4,12,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0006_require_contenttypes_0002.py,14,4,10,2,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0007_alter_validators_add_error_messages.py,24,6,20,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0008_alter_user_username_max_length.py,24,6,20,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0009_alter_user_last_name_max_length.py,16,4,12,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0010_alter_group_name_max_length.py,16,4,12,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\0011_update_proxy_permissions.py,69,37,51,0,8,10,3.3333333333333335,76.4428257471239
clones/django/django\django\contrib\auth\migrations\0012_alter_user_first_name_max_length.py,16,4,12,0,0,4,1.0,100.0
clones/django/django\django\contrib\auth\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\contenttypes\admin.py,129,53,103,8,0,18,5.571428571428571,58.68127121858646
clones/django/django\django\contrib\contenttypes\apps.py,22,14,18,0,0,4,1.5,100.0
clones/django/django\django\contrib\contenttypes\checks.py,41,24,35,0,0,6,6.0,57.08202981943734
clones/django/django\django\contrib\contenttypes\fields.py,705,384,521,45,48,90,2.111111111111111,36.74126757065388
clones/django/django\django\contrib\contenttypes\forms.py,84,44,66,2,8,9,2.5,66.03081393552354
clones/django/django\django\contrib\contenttypes\models.py,184,118,119,16,24,23,2.0555555555555554,68.82673124624768
clones/django/django\django\contrib\contenttypes\views.py,88,56,61,15,3,9,19.0,70.61363071793025
clones/django/django\django\contrib\contenttypes\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\contenttypes\management\__init__.py,135,85,98,10,7,20,4.5,60.61968733295465
clones/django/django\django\contrib\contenttypes\management\commands\remove_stale_contenttypes.py,94,53,76,1,3,14,6.0,57.39557111668229
clones/django/django\django\contrib\contenttypes\management\commands\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\contenttypes\migrations\0001_initial.py,34,6,30,0,0,4,1.0,100.0
clones/django/django\django\contrib\contenttypes\migrations\0002_remove_content_type_name.py,39,13,33,0,0,6,2.0,100.0
clones/django/django\django\contrib\contenttypes\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\flatpages\admin.py,19,12,17,0,0,2,1.0,100.0
clones/django/django\django\contrib\flatpages\apps.py,7,5,5,0,0,2,1.0,100.0
clones/django/django\django\contrib\flatpages\middleware.py,20,16,16,3,0,2,5.5,91.0389848958784
clones/django/django\django\contrib\flatpages\sitemaps.py,12,10,10,0,0,2,2.5,75.67471120151156
clones/django/django\django\contrib\flatpages\urls.py,6,3,5,0,0,1,0.0,100.0
clones/django/django\django\contrib\flatpages\views.py,69,38,35,13,12,9,4.5,79.82553401187087
clones/django/django\django\contrib\flatpages\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\flatpages\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\flatpages\templatetags\flatpages.py,99,55,56,7,19,17,4.75,73.35212610032315
clones/django/django\django\contrib\flatpages\templatetags\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\apps.py,11,8,8,0,0,3,1.5,100.0
clones/django/django\django\contrib\gis\feeds.py,140,94,85,13,20,21,2.263157894736842,65.67408270860972
clones/django/django\django\contrib\gis\geometry.py,17,5,12,3,0,2,0.0,100.0
clones/django/django\django\contrib\gis\measure.py,335,178,246,33,16,40,2.4615384615384617,45.72728630928783
clones/django/django\django\contrib\gis\ptr.py,38,24,22,6,7,5,3.25,84.94851627507525
clones/django/django\django\contrib\gis\shortcuts.py,40,22,25,1,4,8,1.0,100.0
clones/django/django\django\contrib\gis\views.py,20,16,15,0,0,4,6.0,59.75099089331454
clones/django/django\django\contrib\gis\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\admin\options.py,134,77,105,4,14,11,2.2,63.44955899092655
clones/django/django\django\contrib\gis\admin\widgets.py,117,66,75,22,3,16,9.333333333333334,69.04238902758794
clones/django/django\django\contrib\gis\admin\__init__.py,12,4,11,0,0,1,0.0,100.0
clones/django/django\django\contrib\gis\db\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\utils.py,27,18,15,0,7,5,2.25,92.08482830905076
clones/django/django\django\contrib\gis\db\backends\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\base\adapter.py,24,14,16,1,3,4,1.5,88.93905928520697
clones/django/django\django\contrib\gis\db\backends\base\features.py,110,64,64,22,0,24,1.1538461538461537,71.23500232478139
clones/django/django\django\contrib\gis\db\backends\base\models.py,136,94,77,5,22,21,1.5294117647058822,69.12022471987945
clones/django/django\django\contrib\gis\db\backends\base\operations.py,158,85,103,15,14,26,1.8235294117647058,64.28981231291834
clones/django/django\django\contrib\gis\db\backends\base\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\mysql\base.py,16,10,12,1,0,3,1.0,100.0
clones/django/django\django\contrib\gis\db\backends\mysql\features.py,26,19,21,1,0,4,1.3333333333333333,79.73571420675417
clones/django/django\django\contrib\gis\db\backends\mysql\introspection.py,38,20,23,10,0,5,3.3333333333333335,87.09437271204878
clones/django/django\django\contrib\gis\db\backends\mysql\operations.py,102,63,89,3,0,13,2.125,56.19770337541764
clones/django/django\django\contrib\gis\db\backends\mysql\schema.py,77,48,61,3,0,13,2.3333333333333335,59.861218832827994
clones/django/django\django\contrib\gis\db\backends\mysql\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\oracle\adapter.py,63,37,40,0,11,11,5.0,76.86246441103171
clones/django/django\django\contrib\gis\db\backends\oracle\base.py,16,10,12,1,0,3,1.0,100.0
clones/django/django\django\contrib\gis\db\backends\oracle\features.py,14,10,12,0,0,2,1.0,100.0
clones/django/django\django\contrib\gis\db\backends\oracle\introspection.py,47,24,33,8,0,6,3.0,83.9814968601619
clones/django/django\django\contrib\gis\db\backends\oracle\models.py,64,37,32,3,16,11,1.3333333333333333,89.60744363167682
clones/django/django\django\contrib\gis\db\backends\oracle\operations.py,224,115,150,14,25,37,1.9444444444444444,59.70292680851981
clones/django/django\django\contrib\gis\db\backends\oracle\schema.py,94,48,81,2,0,11,1.6,57.89258854922645
clones/django/django\django\contrib\gis\db\backends\oracle\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\gis\db\backends\postgis\adapter.py,69,41,39,4,13,12,1.7777777777777777,79.32452162075074
clones/django/django\django\contrib\gis\db\backends\postgis\base.py,26,18,20,1,0,5,2.0,80.40631083345947
clones/django/django\django\contrib\gis\db\backends\postgis\const.py,52,9,22,33,3,5,0.0,88.09462669303255
clones/django/django\django\contrib\gis\db\backends\postgis\features.py,13,9,11,0,0,2,1.0,100.0
clones/django/django\django\contrib\gis\db\backends\postgis\introspection.py,60,29,41,9,6,5,4.333333333333333,81.43201118128029
clones/django/django\django\contrib\gis\db\backends\postgis\models.py,70,40,41,0,19,10,1.3333333333333333,88.50404766219268
clones/django/django\django\contrib\gis\db\backends\postgis\operations.py,390,226,256,33,37,58,2.7419354838709675,43.32482447746945
